Date,Close,High,Low,Open,Volume,Daily Return,Volatility_30d,MA50,MA200,Month,SMA21,SMA50,Prev_Fast,Prev_Slow,Signal
2021-01-04,10.800000190734863,11.25,10.5,11.125,150500,,,,,Jan,,,,,0
2021-01-05,11.109999656677246,11.829999923706055,10.75,10.850000381469727,165300,0.02870365374699957,,,,Jan,,,,,0
2021-01-06,11.050000190734863,11.5,11.0,11.5,175600,-0.005400492150899661,,,,Jan,,,,,0
2021-01-07,11.109999656677246,11.5,11.050000190734863,11.5,94200,0.005429815828663198,,,,Jan,,,,,0
2021-01-08,11.010000228881836,12.350000381469727,11.0,11.649999618530273,137500,-0.009000848864591071,,,,Jan,,,,,0
2021-01-11,11.170000076293945,11.800000190734863,10.800000190734863,11.800000190734863,162600,0.014532229253946038,,,,Jan,,,,,0
2021-01-12,11.180000305175781,11.800000190734863,11.069999694824219,11.800000190734863,210700,0.0008952756323663547,,,,Jan,,,,,0
2021-01-13,11.199999809265137,11.369999885559082,10.970000267028809,11.34000015258789,386100,0.0017888643598780174,,,,Jan,,,,,0
2021-01-14,11.4399995803833,11.699999809265137,11.225000381469727,11.3100004196167,291000,0.02142855135761934,,,,Jan,,,,,0
2021-01-15,11.220000267028809,11.789999961853027,11.109999656677246,11.569999694824219,269600,-0.019230709914687005,,,,Jan,,,,,0
2021-01-19,11.319999694824219,11.479999542236328,11.09000015258789,11.399999618530273,573900,0.00891260476073863,,,,Jan,,,,,0
2021-01-20,11.319999694824219,11.449999809265137,11.25,11.329999923706055,434000,0.0,,,,Jan,,,,,0
2021-01-21,11.5,11.720000267028809,11.239999771118164,11.390000343322754,401600,0.015901087458339846,,,,Jan,,,,,0
2021-01-22,12.0,12.199999809265137,11.5,11.550000190734863,503900,0.04347826086956519,,,,Jan,,,,,0
2021-01-25,12.09000015258789,12.579999923706055,11.800000190734863,12.5,621100,0.007500012715657478,,,,Jan,,,,,0
2021-01-26,11.90999984741211,12.449999809265137,11.829999923706055,12.380000114440918,695000,-0.014888362523076681,,,,Jan,,,,,0
2021-01-27,11.449999809265137,11.680000305175781,11.260000228881836,11.520000457763672,919500,-0.0386230095751785,,,,Jan,,,,,0
2021-01-28,11.369999885559082,11.680000305175781,11.350000381469727,11.5,183400,-0.006986893016480256,,,,Jan,,,,,0
2021-01-29,11.350000381469727,11.449999809265137,11.100000381469727,11.420000076293945,230900,-0.001758971353619465,,,,Jan,,,,,0
2021-02-01,11.550000190734863,11.680000305175781,11.399999618530273,11.449999809265137,244800,0.01762112797737525,,,,Feb,,,,,0
2021-02-02,11.899999618530273,12.119999885559082,11.720000267028809,11.770000457763672,159600,0.030302980261088797,,,,Feb,11.383333297002883,,,,0
2021-02-03,12.0,12.210000038146973,11.960000038146973,11.979999542236328,164600,0.008403393670198822,,,,Feb,11.440476145063128,,11.383333297002883,,0
2021-02-04,11.989999771118164,12.210000038146973,11.930000305175781,12.149999618530273,142000,-0.0008333524068196985,,,,Feb,11.482380912417458,,11.440476145063128,,0
2021-02-05,11.760000228881836,12.199999809265137,11.739999771118164,12.199999809265137,162400,-0.019182614397571296,,,,Feb,11.516190438043504,,11.482380912417458,,0
2021-02-08,11.779999732971191,11.979999542236328,11.579999923706055,11.979999542236328,527500,0.0017006380697373036,,,,Feb,11.54809520358131,,11.516190438043504,,0
2021-02-09,11.989999771118164,11.989999771118164,11.5600004196167,11.770000457763672,240500,0.01782682876971564,,,,Feb,11.594761848449707,,11.54809520358131,,0
2021-02-10,11.880000114440918,11.90999984741211,11.649999618530273,11.859999656677246,151300,-0.009174283467645816,,,,Feb,11.628571374075753,,11.594761848449707,,0
2021-02-11,11.770000457763672,11.9399995803833,11.5600004196167,11.880000114440918,83200,-0.009259230270842744,,,,Feb,11.65666661943708,,11.628571374075753,,0
2021-02-12,11.800000190734863,11.800000190734863,11.609999656677246,11.649999618530273,117200,0.002548830229773147,,,,Feb,11.685238066173735,,11.65666661943708,,0
2021-02-16,11.699999809265137,11.890000343322754,11.609999656677246,11.800000190734863,265500,-0.008474608462146094,,,,Feb,11.697619029453822,,11.685238066173735,,0
2021-02-17,11.8100004196167,11.850000381469727,11.670000076293945,11.850000381469727,177400,0.009401761721778312,0.2650665991880272,,,Feb,11.72571427481515,,11.697619029453822,,0
2021-02-18,12.239999771118164,12.460000038146973,12.109999656677246,12.270000457763672,460300,0.036409765979959374,0.2723704023454094,,,Feb,11.76952380225772,,11.72571427481515,,0
2021-02-19,12.710000038146973,13.1899995803833,12.369999885559082,12.369999885559082,424300,0.038398715344573287,0.2891704875087052,,,Feb,11.835714294796897,,11.76952380225772,,0
2021-02-22,12.75,13.289999961853027,12.557999610900879,12.65999984741211,506900,0.0031471252346950696,0.2892054059946529,,,Feb,11.895238104320708,,11.835714294796897,,0
2021-02-23,12.140000343322754,12.319999694824219,11.399999618530273,12.25,379700,-0.047843110327627114,0.3249645773057731,,,Feb,11.901904787336077,,11.895238104320708,,0
2021-02-24,14.4399995803833,15.390000343322754,13.609999656677246,14.050000190734863,7375300,0.18945627446588942,0.6295033514068561,,,Feb,12.013809521993002,,11.901904787336077,,0
2021-02-25,13.119999885559082,14.5600004196167,13.032999992370605,14.0,2067400,-0.09141272390460697,0.6937759504895111,,,Feb,12.071428571428571,,12.013809521993002,,0
2021-02-26,14.470000267028809,14.800000190734863,12.600000381469727,13.34000015258789,1714800,0.1028963714363782,0.7479385612515224,,,Feb,12.215238117036366,,12.071428571428571,,0
2021-03-01,14.600000381469727,14.84000015258789,13.699999809265137,14.609999656677246,959500,0.00898411278796818,0.747095921522128,,,Mar,12.369047664460682,,12.215238117036366,,0
2021-03-02,12.859999656677246,14.75,12.859999656677246,14.5,830100,-0.1191781287212077,0.8315068188610244,,,Mar,12.440952391851516,,12.369047664460682,,0
2021-03-03,11.869999885559082,13.149999618530273,11.729999542236328,13.0,1067100,-0.07698287694775563,0.865329988168312,,,Mar,12.45619047255743,,12.440952391851516,,0
