Date,Close,High,Low,Open,Volume,Daily Return,Volatility_30d,MA50,MA200,Month,SMA21,SMA50,Prev_Fast,Prev_Slow,Signal
2017-01-02,382.40533447265625,386.93187260882024,381.73686044244215,386.22518607387957,2335222,-0.009400242711865126,0.20665441982350566,373.0516693115234,413.5498550415039,Jan,,,,,0
2017-01-03,379.6358642578125,383.85681806372577,375.1093503638527,383.5512113466409,6778482,-0.0072422373988660915,0.2088663116381699,372.7120819091797,413.313946685791,Jan,,,,,0
2017-01-04,381.1256408691406,383.58944947452125,379.0247227786567,380.09427641636256,7073586,0.003924225163079997,0.2085921271512541,372.48785522460935,413.08455322265627,Jan,,,,,0
2017-01-05,380.5145263671875,385.6140189261367,377.687826858066,382.59632683706167,8207074,-0.0016034463085703443,0.2075006822213946,372.327041015625,412.85546615600583,Jan,,,,,0
2017-01-06,371.38507080078125,381.5458667033603,369.78072847023617,380.0370439770796,14393448,-0.023992396961992846,0.1647478203193757,372.0065539550781,412.5934341430664,Jan,,,,,0
2017-01-09,370.6593017578125,373.1804178778736,368.61569041654616,371.3850829093129,10545692,-0.0019542224500403993,0.16466427124005234,371.75329833984375,412.29405746459963,Jan,,,,,0
2017-01-10,370.7357177734375,374.7274676318089,369.74256561520826,373.19952688713283,11939854,0.00020616241184989725,0.1633116552714231,371.54740844726564,411.97769134521485,Jan,,,,,0
2017-01-11,370.18182373046875,373.75339910508416,368.21461406812614,372.129962111493,12241574,-0.0014940401380674206,0.16310336249472343,371.3919409179687,411.59943634033203,Jan,,,,,0
2017-01-12,382.00421142578125,383.6658606727169,373.40954629704225,373.40954629704225,11855740,0.031936704985062736,0.18779104014769488,371.53709411621094,411.2774914550781,Jan,,,,,0
2017-01-13,372.7411193847656,397.2645716433463,367.7371230485293,393.4447199929295,31276246,-0.02424866471090026,0.19849889090581926,371.60546936035155,410.9184773254394,Jan,,,,,0
2017-01-16,365.0440673828125,368.7875166716258,363.82171040914363,368.61561871502045,12351372,-0.020649860188909797,0.20756512821642403,371.4881982421875,410.48763580322264,Jan,,,,,0
2017-01-17,364.9486083984375,368.23367124347277,363.8026529900035,365.27328643835153,5560094,-0.00026149989249080186,0.20698573184792723,371.31592224121096,410.0617335510254,Jan,,,,,0
2017-01-18,363.1914978027344,367.08775122999515,362.80951262975833,365.9799849025547,5952962,-0.004814679533685973,0.20739625558876104,371.07297973632814,409.64133529663087,Jan,,,,,0
2017-01-19,365.9799499511719,366.5529276559161,362.16009858621015,363.267864807858,8876480,0.007677636082637607,0.20074969200672574,371.0714508056641,409.21862899780274,Jan,,,,,0
2017-01-20,362.3892822265625,364.0891206463533,361.35791775610915,362.8858582117375,9124742,-0.009811105021158784,0.20165821028416286,371.14249938964844,408.75490066528323,Jan,,,,,0
2017-01-23,363.91729736328125,365.9418142195447,359.0660807582172,360.97600671969707,7948580,0.004216502009470213,0.19959856230299236,371.3804772949219,408.32281478881833,Jan,,,,,0
