Date,Close,High,Low,Open,Volume
2015-01-05,363.90106201171875,370.11831597159045,360.54629055853206,366.4536021218677,9937024
2015-01-06,356.2981262207031,361.91372337512246,352.6334123647557,361.00210190566366,9667316
2015-01-07,358.0028076171875,360.0448304151802,355.532305005495,358.2671688901527,7249916
2015-01-08,359.8078308105469,364.1015763799739,355.53233547368507,362.0230751982361,13564920
2015-01-09,378.2225646972656,384.52187699005304,348.79544597027177,361.02027465161825,44863328
2015-01-12,385.78900146484375,386.3815552982018,378.3228320670835,381.4223444261873,12758888
2015-01-13,380.8571472167969,384.3031026041001,378.3228576860764,384.3031026041001,8801236
2015-01-14,388.1045227050781,388.89765105029846,381.53176866673266,382.60746400799405,9921260
2015-01-15,389.1255798339844,392.50770400228373,385.11444582609045,389.2987789908638,8342452
2015-01-16,386.21746826171875,393.8203805956672,385.06881658243014,391.6324895923579,6690960
2015-01-19,383.33673095703125,388.77912755836064,381.89638720467315,386.52740529317776,4087744
2015-01-20,387.2931823730469,388.8976447560737,383.14530547750036,384.15721401830626,6804504
2015-01-21,395.62542724609375,396.72849801442794,386.16281516126963,388.62419287830323,8494908
2015-01-22,400.466064453125,401.6602971169631,394.0573852797147,396.5187624976353,9958396
2015-01-23,403.8573913574219,405.67150897816504,394.7503027887566,401.1134021357138,9486328
2015-01-27,389.5357666015625,404.94216598271487,388.3689091872645,404.94216598271487,13739968
2015-01-28,391.0035095214844,392.87233322871623,388.4053887577718,391.9971678583874,13134356
2015-01-29,391.1767272949219,391.97893629014226,387.9131406168856,391.08556515852126,15369424
2015-01-30,390.520263671875,394.285285856673,387.7945252435134,394.09383650613194,10833744
2015-02-02,389.5995788574219,392.3617733507698,387.63046811835216,390.44736878748773,8702540
2015-02-03,386.6914978027344,390.1647837915839,383.2455871600144,389.5996053040931,5265956
2015-02-04,390.693603515625,391.9972043202356,387.6943334816614,390.1557112762303,5160016
2015-02-05,399.98297119140625,404.7598579092246,391.63251116622274,392.14302799766904,11875936
2015-02-06,406.67437744140625,409.8285969378795,399.01675634634273,402.025107490832,7453728
2015-02-09,410.0290222167969,410.9588937744518,401.11338345332473,401.11338345332473,6536868
2015-02-10,415.3892822265625,418.98106048307113,408.5885798705668,408.9532283131108,8516920
2015-02-11,416.5835876464844,418.10596845274813,411.36909620089597,415.79045934011884,5796972
2015-02-12,421.3878479003906,423.3478338213977,414.42306962317815,416.24631234039407,6287536
2015-02-13,418.63482666015625,424.21392331426813,416.79333349707906,419.2729616851955,5657516
2015-02-16,415.4714050292969,420.60381511298107,413.010027533786,415.75401653318505,6244276
2015-02-18,418.7076721191406,420.2483032468115,411.71551879225615,417.62285165129896,8613764
2015-02-19,423.8492431640625,425.5448678640168,417.8963732503332,418.251896692397,9673624
2015-02-20,416.2645263671875,425.90946169726647,415.1340803706272,424.5420297782898,6971628
2015-02-23,413.0738220214844,421.0231322946907,409.8831477745799,419.3457581645833,5090488
2015-02-24,414.38665771484375,418.6074472487043,411.6153373926756,415.51705941711106,6437676
2015-02-25,422.5546569824219,425.6906248635485,415.6992480688178,417.3219159250383,6044972
2015-02-26,411.7064208984375,420.98670773770385,409.3908672335457,420.71322135329217,6445776
2015-02-27,413.1012268066406,415.8178407038059,410.50310588332843,414.769476120715,7801076
2015-03-02,417.8325500488281,420.8956069028507,415.3438413933647,419.89282334731,7040992
2015-03-03,418.95379638671875,419.8836233556609,415.38934839054923,417.5225332166595,4905552
2015-03-04,414.7238464355469,421.88007340296843,410.57596965825155,419.34578407820743,4375228
2015-03-05,409.79205322265625,419.11792196836467,407.19393233606604,413.3382514249585,5684916
2015-03-09,399.2992248535156,411.87047274410577,397.28453302762574,411.87047274410577,7984720
2015-03-10,400.7486877441406,402.3804808230774,393.8568224281554,400.76693797361673,6329916
2015-03-11,397.8680419921875,408.4063944662352,395.47962058935167,400.037727670448,6780912
2015-03-12,404.4499206542969,405.93584558947924,396.9199197058779,397.28456823110145,5688564
2015-03-13,404.832763671875,406.5830943495143,399.7276844603116,405.6714730617351,6179684
2015-03-16,413.2652893066406,416.0639846597412,403.0369244545202,403.0369244545202,6818632
2015-03-17,408.4975280761719,415.60817462603603,404.25848878682973,413.2652899448865,5539312
2015-03-18,406.4919128417969,412.57244434650636,405.2247682147448,411.05001906339135,4905564
2015-03-19,406.6651611328125,410.04728526061353,405.2612731494125,407.4218335647164,6891740
2015-03-20,411.5878601074219,413.6754638209483,407.1209160817538,408.5886351641673,6430896
2015-03-23,407.21209716796875,414.7876788423442,405.7626282477525,410.77654524474787,5078700
2015-03-24,403.20098876953125,410.8494828185919,402.2073304233041,407.4764839007174,6736532
2015-03-25,404.59576416015625,406.4280872768529,401.2500963412573,405.28856070539643,6170968
2015-03-26,391.3316345214844,403.82992505842,388.7152639780696,402.5719056583385,15740840
2015-03-27,401.5054016113281,405.6168230915168,394.36742374395317,394.54974802677515,10074220
2015-03-30,406.2185363769531,408.406427955285,400.1835843016138,402.13448990250754,4623088
2015-03-31,404.4591064453125,414.5416040700731,401.90656638582556,409.31803096772944,8016412
2015-04-01,396.3638000488281,401.022193605446,393.4010309439914,400.91278124878,6738488
2015-04-06,397.13873291015625,398.3238407155839,393.8933518635093,397.2846012349153,7741752
2015-04-07,393.729248046875,397.97741229996745,389.8092763714836,396.5552741384363,8542268
2015-04-08,401.2137451171875,402.0068291102757,396.1998268940604,397.9227826172722,10185576
2015-04-09,403.8482971191406,404.55934403582427,398.26915611229816,403.191911878536,10581548
2015-04-10,407.30328369140625,408.04170586865354,402.97308238918083,402.97308238918083,7123776
2015-04-13,408.1876220703125,409.1356994588405,404.04886966372305,408.04175373836233,4872336
2015-04-15,403.6112365722656,409.3179952527292,400.21090666625093,407.7682389232645,6237784
2015-04-16,400.1379699707031,406.7654754643472,393.91161350996066,405.12455691697875,9007812
2015-04-17,397.33013916015625,400.19262110758257,392.62616440222683,397.47600746907625,6450316
2015-04-20,388.7427062988281,397.4669411376199,385.6431934550944,396.73764399791787,12825384
2015-04-21,390.6480407714844,392.92709439188934,386.5457442547554,391.6325741303929,8881648
2015-04-22,389.754638671875,392.9088578953518,382.50724790559184,392.18868582867714,12350984
2015-04-23,386.8920593261719,391.9971383370733,385.0688168222785,391.76010790901586,11891800
2015-04-24,363.77337646484375,392.03363845960433,361.00205644920015,389.4263924826967,43565452
2015-04-27,361.849853515625,365.0131750317823,355.18589279118913,364.648526505277,19822640
2015-04-28,357.5196838378906,361.3667216809983,355.89699330035756,361.3667216809983,10393500
2015-04-29,357.565185546875,359.54339908753667,353.3352498508426,357.51960448715295,8289056
2015-04-30,354.1192932128906,358.26717011884676,352.30517573239786,357.35554882083443,13134260
2015-05-04,363.3905029296875,364.64854486073324,355.51410326324805,357.2644118273034,13361592
2015-05-05,357.85693359375,365.32310297710546,355.9060729563942,364.64851213221243,9408516
2015-05-06,350.4364013671875,360.0904633686185,349.20571244175045,360.0904633686185,10508408
2015-05-07,354.4383544921875,358.65004036435283,348.2393297737027,350.427220850815,6779984
2015-05-08,356.9818115234375,358.73214239889165,354.6663020933412,356.9909366398982,5777676
2015-05-11,363.49078369140625,364.64853834938947,355.9334293802869,358.2671889282752,4785512
2015-05-12,355.0035705566406,363.6639731106317,354.0737212600144,363.49077396210384,8284892
2015-05-13,356.75390625,358.24897868506315,351.6123705073326,355.85140997546614,7099084
2015-05-14,352.760986328125,357.50141707707314,347.87468726896515,357.35554876686143,6233844
2015-05-15,357.6746520996094,358.5589203959732,352.30521101906857,352.79747766674865,5189344
2015-05-18,363.38128662109375,364.4478788305417,357.6471766895376,359.178704551081,6469976
2015-05-19,368.7234802246094,371.15750475962307,362.0959975109692,362.3330279627481,10272076
2015-05-20,373.27252197265625,374.1294372196804,370.7746658849525,371.9415457739513,5882188
2015-05-21,373.4820556640625,375.93430762627395,371.4400332145435,373.5640926640508,10059312
2015-05-22,373.117431640625,374.04730306871767,370.1364347711347,372.6707461556604,6888824
2015-05-25,367.7116394042969,374.95902997968574,365.93397756505055,373.85595911534375,4675808
2015-05-26,365.97955322265625,370.38266698499405,365.0405786855686,368.29506278414203,3965040
2015-05-27,358.9052734375,366.28940530146684,356.44389614951103,365.9247568143574,8454708
2015-05-28,367.67510986328125,370.482908007131,360.1268808098914,360.1268808098914,10980540
2015-05-29,368.8692932128906,374.9406770939514,364.8308068170882,365.5327506947712,18993044
2015-06-01,373.3636779785156,376.31732247914204,368.88760790015704,370.62881371631255,5724892
2015-06-02,366.2256774902344,374.6946538354558,365.56018940239,373.4183838475173,4673140
2015-06-03,368.4591369628906,371.84123895771353,366.10714933115025,367.96684805966225,5495796
2015-06-04,369.76275634765625,374.6763866767033,366.9458329334114,370.11827978282616,7489464
2015-06-05,366.77264404296875,372.6708300775081,366.1345090599593,370.1182901454704,6125788
2015-06-08,364.6576232910156,369.142795367305,362.278282937866,368.2949831577701,6141048
2015-06-09,363.208251953125,366.0434038641067,361.549105190467,365.33233460685744,7561740
2015-06-10,369.4801330566406,371.8229954742408,361.91367585365487,362.8252972034122,6385840
2015-06-11,364.2200927734375,372.80756168334756,363.74605410923425,371.2030991591721,9229464
2015-06-12,360.09954833984375,369.3069237184839,356.535100058036,365.5601511717526,9852924
2015-06-15,366.6424560546875,369.7334303785738,358.33196333663284,361.6450578056745,5236426
2015-06-16,369.93707275390625,371.28823038657333,364.6250318352689,368.0861842674328,5223444
2015-06-17,368.5858154296875,377.9513035452923,367.29019391900334,374.24952780048045,6412068
2015-06-18,370.8995056152344,373.12057154325356,368.62290400147435,372.2506404984688,3474426
2015-06-19,368.4562683105469,374.02745931383004,367.6233687033402,373.990427997201,6670458
2015-06-22,379.0063781738281,380.8202576976073,369.0671173020797,371.9915297766174,5710868
2015-06-23,370.3257141113281,380.320510229873,369.4928144347827,379.4320748706847,6952116
2015-06-24,368.36376953125,375.7303137848679,366.92009025626874,375.7303137848679,7073694
2015-06-25,366.6424560546875,371.4732698432966,365.60596315884754,369.88151047534404,7117466
2015-06-26,372.12103271484375,374.4716514392935,369.4742538350653,369.80742271288625,5320284
2015-06-29,366.5313415527344,369.992492904043,363.6994740152299,365.3652731328569,5690668
2015-06-30,364.3843688964844,367.7529991431996,362.7741051204799,366.47588170334194,6212530
2015-07-01,369.2152099609375,372.02855116103257,364.99517556694343,366.10570855548383,6880852
2015-07-02,365.7355041503906,370.6958935073792,364.6434756060704,369.80745814396784,4007568
2015-07-03,366.5868835449219,367.5863676130927,363.51441389331023,365.73547955864615,2695306
2015-07-06,363.99566650390625,365.7355059192557,360.9231966308444,364.6249730065454,4305602
2015-07-07,362.9591064453125,366.4757933512079,362.40384009175006,364.62490550599983,3497418
2015-07-08,354.4450988769531,362.40391832954265,353.4456147059973,362.40391832954265,7024178
2015-07-09,347.2265930175781,357.591565943476,345.76438696104793,354.44505630525697,8587772
2015-07-10,347.04156494140625,352.44614987521965,345.2462122829835,350.9654391981363,7411522
2015-07-13,351.72430419921875,353.51965676935527,345.7644304607233,348.3371696544118,6531768
2015-07-14,359.5350341796875,360.3679338727679,350.00295991443454,353.5196475074405,5367074
2015-07-15,364.2547912597656,364.97664216365405,358.33194912546054,359.07230439224867,4129566
2015-07-16,366.1241455078125,367.0310851335686,362.58895399730756,365.62441479252203,3472938
2015-07-17,370.8624267578125,371.84340645449004,366.1426622657321,366.8460087569931,3447978
2015-07-20,370.6403503417969,374.1755421733533,365.51339922729284,370.6958860235826,4377180
2015-07-21,411.87811279296875,425.33405942119157,383.1338133167391,383.1338133167391,38310112
2015-07-22,408.3614807128906,411.6375438544075,398.55177305808684,409.0463003229499,12665660
2015-07-23,406.4550476074219,413.4884227481696,403.4936264955281,408.65758648431284,7710748
2015-07-24,402.60516357421875,409.58300255408614,400.9393643127689,405.54810271539844,4480302
2015-07-27,394.3502502441406,402.734737475779,392.55485257514147,402.3460780740106,6752244
2015-07-28,393.44329833984375,398.3111433768312,390.2597796515096,395.5348110577548,8476602
2015-07-29,401.7908630371094,404.2340266883441,394.23922932517075,397.5708284462285,7071334
2015-07-30,396.0900573730469,403.4936098473094,391.64792588848934,403.4936098473094,11956598
2015-07-31,398.6998291015625,400.29156577652424,392.3882825199128,399.2550955390907,7931012
2015-08-03,399.40313720703125,404.23397337046674,395.7013608941149,399.0514865323838,7961012
2015-08-04,391.37030029296875,399.4031368089106,389.0566900997022,399.0514861346137,9099054
2015-08-05,402.14251708984375,403.49367467100797,393.110172582603,393.12869954184447,4753476
2015-08-06,402.3645324707031,409.2313451661637,398.6812833504824,404.9743026791344,7238252
2015-08-07,405.56658935546875,407.5655575307613,399.2365611234569,399.60673874155935,4988058
2015-08-10,402.0129089355469,409.54601472014184,394.9795339173375,406.4550405259949,3992754
2015-08-11,410.58245849609375,413.45133464747437,405.60354309495386,406.75112970565925,7574406
